3 0.645065 0.500000 0.709870 1.000000
2 0.303594 0.558417 0.034917 0.040093 0
0 0.733604 0.551657 0.014208 0.059370 1
0 0.615953 0.570995 0.094083 0.190287 2
0 0.455523 0.548815 0.015984 0.070556 3
6 0.509589 0.319324 0.032448 0.118593 4
0 0.536995 0.574384 0.011500 0.056972 5
0 0.433208 0.612491 0.018365 0.077056 6
0 0.525393 0.562181 0.061578 0.213287 7
0 0.787620 0.560144 0.011615 0.056694 8
0 0.965281 0.561356 0.048187 0.167565 9
0 0.922378 0.551963 0.025318 0.093741 10
0 0.485484 0.581231 0.018854 0.070426 11
0 0.751201 0.514102 0.029057 0.095981 12
0 0.530951 0.572194 0.013109 0.063611 13
0 0.711268 0.664333 0.070724 0.159241 14
0 0.721745 0.602755 0.114448 0.215602 15
6 0.079052 0.397356 0.035573 0.120102 16
0 0.514388 0.595681 0.282943 0.450491 17
0 0.760312 0.533866 0.038260 0.108065 19
0 0.784427 0.552634 0.039792 0.090917 20
0 0.420547 0.603134 0.021917 0.098102 21
0 0.517984 0.566301 0.020177 0.080435 22
1 0.549104 0.558759 0.290458 0.277426 23
1 0.281174 0.380491 0.043474 0.157407 24
6 0.784586 0.131861 0.015776 0.073204 25
6 0.286505 0.552417 0.478708 0.891907 26
