4 0.315982 0.257537 0.012682 0.068815
2 0.478974 0.348102 0.008198 0.013981 0
0 0.834536 0.526921 0.048552 0.121065 1
0 0.597333 0.471042 0.045333 0.120417 2
0 0.448958 0.484856 0.046542 0.130287 3
6 0.545573 0.272995 0.017500 0.068787 4
0 0.889391 0.381690 0.029844 0.090843 5
0 0.767638 0.386778 0.036182 0.105574 6
0 0.720719 0.492116 0.049021 0.119602 7
0 0.827289 0.395375 0.025036 0.098565 8
0 0.692190 0.409968 0.031214 0.098157 9
0 0.386919 0.604940 0.049380 0.147028 10
0 0.717883 0.372255 0.039443 0.100120 11
0 0.412255 0.659579 0.040385 0.141213 12
0 0.643927 0.467023 0.043187 0.125213 13
0 0.626044 0.400954 0.025620 0.091426 14
0 0.361539 0.361185 0.029661 0.078556 15
6 0.798221 0.388435 0.027141 0.101981 16
0 0.430685 0.661074 0.030089 0.144148 17
0 0.305995 0.691815 0.035615 0.149519 19
0 0.314740 0.525880 0.198437 0.948241 20
0 0.594172 0.355565 0.034583 0.090537 21
0 0.467958 0.314569 0.029604 0.084565 22
1 0.186047 0.353792 0.024365 0.090935 23
1 0.529414 0.591148 0.049297 0.132352 24
6 0.715646 0.238787 0.015969 0.083519 25
6 0.299427 0.500009 0.538229 0.996278 26
0 0.068664 0.498056 0.031078 0.114630 27
