4 0.824414 0.336440 0.011714 0.080954
5 0.615555 0.620833 0.012880 0.018574
3 0.993169 0.511995 0.013661 0.167620
2 0.701792 0.370042 0.010323 0.015231 0
0 0.252641 0.423537 0.035594 0.103537 1
0 0.137289 0.488778 0.034620 0.138000 2
0 0.228091 0.509093 0.042661 0.126500 3
6 0.209432 0.190394 0.025500 0.071954 4
0 0.107607 0.465403 0.039880 0.106343 5
0 0.157062 0.576912 0.044073 0.162194 6
0 0.327471 0.464597 0.034734 0.115083 7
0 0.483815 0.443769 0.027391 0.081741 8
0 0.398805 0.569532 0.035755 0.117935 9
0 0.685813 0.341986 0.023302 0.068065 10
0 0.153500 0.387616 0.032573 0.063065 11
0 0.391940 0.347602 0.037641 0.088278 12
0 0.074102 0.550074 0.035495 0.154389 13
0 0.011698 0.389190 0.023396 0.092361 14
0 0.212643 0.347699 0.032922 0.093787 15
6 0.045294 0.390583 0.042536 0.092056 16
0 0.373849 0.507843 0.036927 0.120241 17
0 0.179164 0.576130 0.044391 0.123259 18
0 0.265060 0.459407 0.040349 0.106370 19
0 0.679940 0.350278 0.019776 0.069111 20
0 0.186492 0.576120 0.050161 0.131685 21
0 0.449940 0.504569 0.045828 0.117713 22
1 0.897148 0.534111 0.026380 0.131778 23
