7 0.823336 0.174898 0.353026 0.139648
3 0.842818 0.823810 0.314365 0.352380
2 0.405760 0.583963 0.012823 0.021111 0
0 0.412083 0.550458 0.049479 0.136306 1
0 0.728841 0.452079 0.029401 0.157324 2
0 0.693953 0.403593 0.046656 0.156148 3
6 0.836328 0.184741 0.031052 0.078741 4
0 0.418003 0.497958 0.038891 0.133157 5
0 0.552490 0.512181 0.058854 0.151991 6
0 0.796544 0.430847 0.037432 0.152565 7
0 0.212044 0.527750 0.037474 0.156167 8
0 0.353859 0.447315 0.036885 0.145185 9
0 0.161708 0.505648 0.045292 0.150000 10
0 0.701617 0.271088 0.031536 0.126176 11
0 0.454185 0.217889 0.032401 0.098648 12
0 0.515745 0.531329 0.042052 0.149935 13
0 0.662310 0.243986 0.025661 0.117639 14
0 0.679109 0.232440 0.024385 0.117528 15
6 0.990729 0.301852 0.018542 0.139259 16
0 0.097109 0.245667 0.035365 0.132185 17
0 0.751724 0.122894 0.025927 0.117361 19
0 0.144258 0.226319 0.029297 0.119028 20
0 0.506547 0.549097 0.044094 0.148269 21
0 0.936448 0.118644 0.028281 0.088769 22
1 0.912477 0.094310 0.028964 0.090639 23
1 0.783565 0.760977 0.054016 0.171750 24
6 0.380128 0.151394 0.016464 0.093583 25
