3 0.485419 0.486056 0.970839 0.755407
2 0.879997 0.650144 0.040422 0.072491 0
0 0.258549 0.579625 0.140922 0.754269 1
0 0.638995 0.561329 0.013865 0.070454 2
0 0.366177 0.478009 0.026417 0.105352 3
6 0.544268 0.363468 0.035432 0.131491 4
0 0.422992 0.407528 0.017193 0.090556 5
0 0.314630 0.439764 0.021094 0.097009 6
0 0.508396 0.437255 0.023781 0.108935 7
0 0.859547 0.380051 0.022615 0.093417 8
0 0.834031 0.540954 0.169104 0.230204 9
0 0.803609 0.579759 0.053396 0.226778 10
0 0.462909 0.490931 0.020734 0.076657 11
0 0.926367 0.479190 0.031901 0.113880 12
0 0.431552 0.396278 0.017771 0.096333 13
0 0.739177 0.608509 0.138833 0.548722 14
0 0.275789 0.613685 0.100297 0.534833 15
6 0.107958 0.409069 0.034656 0.121491 16
0 0.688099 0.607495 0.175781 0.535750 17
0 0.867159 0.463852 0.026818 0.140037 19
0 0.825479 0.482546 0.039615 0.102648 20
0 0.265240 0.476097 0.033042 0.124657 21
0 0.309672 0.490194 0.024865 0.101722 22
1 0.305214 0.651657 0.287490 0.428352 23
1 0.317044 0.382403 0.046266 0.169731 24
6 0.782076 0.133028 0.015734 0.073056 25
6 0.277891 0.587352 0.439031 0.822315 26
