7 0.090776 0.375847 0.181552 0.174194
2 0.342701 0.265991 0.021203 0.038148 0
0 0.855750 0.640287 0.062792 0.169074 1
0 0.758016 0.410949 0.031823 0.134435 2
0 0.314477 0.370394 0.026755 0.121157 3
6 0.344831 0.183676 0.031245 0.074333 4
0 0.661112 0.475694 0.410484 0.316574 5
0 0.419578 0.133505 0.017823 0.075769 6
0 0.538523 0.427125 0.042536 0.131676 7
0 0.710357 0.458185 0.030984 0.135167 8
0 0.755656 0.242741 0.024208 0.098593 9
0 0.684573 0.541681 0.033833 0.124417 10
0 0.338555 0.352630 0.027161 0.114741 11
0 0.626836 0.654005 0.065401 0.134935 12
0 0.494477 0.266083 0.025359 0.112741 13
0 0.713594 0.502426 0.028750 0.136815 14
0 0.176802 0.383009 0.037854 0.118981 15
6 0.549516 0.401106 0.029823 0.121861 16
0 0.273469 0.606806 0.039958 0.154537 17
0 0.314419 0.575648 0.065536 0.143704 19
0 0.314740 0.525880 0.198437 0.948241 20
0 0.284849 0.286023 0.032896 0.101046 21
0 0.321573 0.297588 0.027365 0.119157 22
1 0.275789 0.241028 0.027359 0.079130 23
1 0.412917 0.285690 0.033958 0.116028 24
6 0.038021 0.169819 0.015594 0.090120 25
6 0.299427 0.500009 0.538229 0.996278 26
0 0.285747 0.379042 0.039161 0.131139 27
0 0.599536 0.206676 0.020823 0.096833 28
