3 0.563742 0.909963 0.486745 0.180074
3 0.557969 0.037708 0.168271 0.072546
7 0.560445 0.336037 0.596224 0.143889
2 0.436159 0.465083 0.012828 0.021111 0
0 0.490107 0.421532 0.038849 0.122954 1
0 0.268143 0.544361 0.051005 0.142944 2
0 0.206107 0.506778 0.043203 0.151259 3
6 0.873523 0.177986 0.032036 0.080343 4
0 0.449242 0.426375 0.038901 0.106824 5
0 0.428453 0.431218 0.039167 0.127713 6
0 0.440859 0.477782 0.044219 0.130546 7
0 0.700714 0.418606 0.032948 0.116843 8
0 0.147174 0.428639 0.035547 0.125833 9
0 0.342539 0.399120 0.023464 0.130463 10
0 0.696940 0.341972 0.029766 0.116796 11
0 0.622083 0.240495 0.033427 0.100620 12
0 0.488846 0.446060 0.051161 0.122880 13
0 0.162719 0.359796 0.028313 0.117630 14
0 0.244542 0.355394 0.032896 0.113657 15
6 0.658107 0.389236 0.037047 0.131157 16
0 0.307625 0.321833 0.028094 0.123519 17
0 0.289760 0.251657 0.037667 0.124463 19
0 0.258424 0.287417 0.027495 0.108315 20
0 0.343617 0.522032 0.046203 0.147009 21
0 0.840411 0.278537 0.033448 0.114407 22
1 0.523563 0.114213 0.020062 0.091389 23
1 0.578229 0.864389 0.045208 0.206407 24
6 0.547964 0.169440 0.015865 0.096787 25
