4 0.081073 0.043755 0.014073 0.077954
5 0.235323 0.275727 0.006885 0.009509
3 0.545229 0.167481 0.186792 0.175093
2 0.992659 0.686028 0.012693 0.024852 0
0 0.532328 0.486028 0.021052 0.080093 1
0 0.411396 0.561398 0.395156 0.728815 2
0 0.349065 0.438796 0.019828 0.083926 3
6 0.448898 0.242074 0.027224 0.096019 4
0 0.481508 0.565282 0.023026 0.087231 5
0 0.271297 0.715440 0.045510 0.168009 6
0 0.295901 0.522611 0.232094 0.713926 7
0 0.582846 0.495699 0.024286 0.080880 8
0 0.890924 0.524944 0.209297 0.651907 9
0 0.676839 0.428431 0.023833 0.091120 10
0 0.280062 0.565731 0.037740 0.129037 11
0 0.219258 0.259741 0.031755 0.105056 12
0 0.430628 0.562977 0.028922 0.094454 13
0 0.192969 0.491079 0.047948 0.156583 14
0 0.185068 0.460236 0.028260 0.122306 15
6 0.188695 0.401755 0.035130 0.119231 16
0 0.100154 0.330125 0.030839 0.127898 17
0 0.266792 0.332514 0.035583 0.127750 19
0 0.174529 0.403579 0.042911 0.059750 20
0 0.534320 0.666181 0.040214 0.183935 21
0 0.895229 0.469509 0.031625 0.144500 22
1 0.504859 0.212944 0.020073 0.108185 23
1 0.218404 0.377139 0.038578 0.135852 24
6 0.788979 0.129819 0.015844 0.073435 25
6 0.299427 0.500009 0.538229 0.996278 26
