3 0.010523 0.079222 0.019036 0.112278
3 0.103198 0.966713 0.206396 0.063981
7 0.130378 0.422819 0.260516 0.151898
4 0.710018 0.084671 0.014859 0.093287
2 0.602617 0.482634 0.010703 0.017880 0
0 0.337839 0.487972 0.034844 0.117204 1
0 0.398385 0.378704 0.023750 0.116296 2
0 0.266479 0.372759 0.027250 0.103185 3
6 0.866125 0.184106 0.026833 0.076972 4
0 0.623172 0.423644 0.023552 0.106972 5
0 0.758260 0.336273 0.024833 0.103194 6
0 0.178750 0.421222 0.027708 0.109778 7
0 0.339984 0.471681 0.033677 0.110898 8
0 0.497013 0.360176 0.022745 0.103167 9
0 0.291396 0.463579 0.032354 0.118769 10
0 0.478456 0.332801 0.023057 0.107731 11
0 0.220893 0.495745 0.033578 0.132398 12
0 0.537854 0.413264 0.027729 0.108843 13
0 0.268995 0.273134 0.022635 0.098880 14
0 0.236096 0.228458 0.020724 0.095676 15
6 0.359219 0.343792 0.026250 0.100565 16
0 0.151992 0.248741 0.029807 0.101630 17
0 0.161018 0.246764 0.023266 0.106435 19
0 0.314740 0.525880 0.198437 0.948241 20
0 0.729456 0.293681 0.026609 0.103935 21
0 0.535495 0.197542 0.018385 0.092880 22
1 0.142526 0.118764 0.019646 0.076546 23
1 0.145943 0.801148 0.045198 0.193074 24
6 0.250940 0.232329 0.018255 0.086602 25
6 0.299427 0.500009 0.538229 0.996278 26
0 0.222701 0.165282 0.019380 0.094176 27
