3 0.501292 0.500366 0.997417 0.999269
2 0.430060 0.641764 0.007818 0.012861 0
0 0.578234 0.656065 0.025260 0.081944 1
0 0.197896 0.456208 0.067771 0.247065 2
0 0.156810 0.464579 0.030099 0.101880 3
6 0.184128 0.247009 0.017578 0.051944 4
0 0.028922 0.500069 0.037698 0.104435 5
0 0.115716 0.627185 0.027214 0.070259 6
0 0.550674 0.607144 0.010630 0.046454 7
0 0.604141 0.627046 0.026760 0.088019 8
0 0.702057 0.606463 0.018594 0.063370 9
0 0.821919 0.600426 0.013943 0.090019 10
0 0.514625 0.608838 0.021479 0.062324 11
0 0.829042 0.596685 0.018792 0.107000 12
0 0.061312 0.537648 0.041344 0.125444 13
0 0.689635 0.602653 0.021146 0.070991 14
0 0.523240 0.611843 0.026958 0.087056 15
6 0.527839 0.534856 0.015187 0.065287 16
0 0.657453 0.602421 0.022490 0.089417 17
0 0.614885 0.607116 0.028771 0.079843 19
0 0.724680 0.602949 0.027828 0.104472 20
0 0.351740 0.613352 0.022875 0.089222 21
0 0.492852 0.612088 0.028255 0.078972 22
1 0.364531 0.633454 0.104167 0.259389 23
1 0.107578 0.371370 0.034781 0.116056 24
6 0.307919 0.247282 0.015380 0.064454 25
6 0.191742 0.936727 0.042224 0.126472 26
