7 0.965859 0.580755 0.068281 0.128454
2 0.493380 0.433278 0.009823 0.015815 0
0 0.329135 0.333713 0.036625 0.095537 1
0 0.399802 0.391329 0.031375 0.107157 2
0 0.415505 0.396880 0.031948 0.108093 3
6 0.504513 0.222454 0.022068 0.078426 4
0 0.504781 0.390019 0.037479 0.113111 5
0 0.072560 0.579324 0.040505 0.139685 6
0 0.424424 0.429917 0.041359 0.131241 7
0 0.467411 0.318685 0.037115 0.105778 8
0 0.538828 0.393032 0.051302 0.109676 9
0 0.499333 0.282782 0.028625 0.100361 10
0 0.955753 0.546968 0.032766 0.144213 11
0 0.721885 0.268616 0.025708 0.099435 12
0 0.519404 0.399505 0.045984 0.095250 13
0 0.900393 0.391843 0.036297 0.117981 14
0 0.901344 0.414537 0.025021 0.119630 15
6 0.668531 0.518657 0.024917 0.139722 16
0 0.869784 0.295505 0.031755 0.109731 17
0 0.491471 0.308375 0.037536 0.129769 19
0 0.839875 0.255569 0.023625 0.101639 20
0 0.064221 0.787000 0.039995 0.187111 21
0 0.877247 0.405685 0.038109 0.133741 22
1 0.555677 0.163505 0.020698 0.094287 23
1 0.387305 0.447227 0.103089 0.104454 24
6 0.883638 0.205532 0.014672 0.103194 25
