4 0.460432 0.182347 0.010708 0.067194
3 0.052628 0.282028 0.104245 0.138500
2 0.276406 0.578657 0.011354 0.020463 0
0 0.356010 0.515940 0.044125 0.104602 1
0 0.585651 0.427616 0.039740 0.111435 2
0 0.676336 0.451315 0.050974 0.108481 3
6 0.945474 0.216231 0.021552 0.066611 4
0 0.370883 0.672148 0.042286 0.132370 5
0 0.542471 0.634694 0.037245 0.136352 6
0 0.772013 0.501394 0.052432 0.115731 7
0 0.314063 0.535829 0.026667 0.118157 8
0 0.799474 0.684944 0.049698 0.143630 9
0 0.832839 0.361338 0.042552 0.087509 10
0 0.956068 0.566491 0.048583 0.135759 11
0 0.818128 0.357435 0.031151 0.078593 12
0 0.344677 0.616264 0.043000 0.133954 13
0 0.841888 0.413264 0.027349 0.112139 14
0 0.798661 0.482588 0.040208 0.119157 15
6 0.875094 0.672722 0.050854 0.154019 16
0 0.377383 0.423620 0.141172 0.724426 17
0 0.734456 0.333236 0.032776 0.108620 19
0 0.314740 0.525880 0.198437 0.948241 20
0 0.793297 0.642736 0.036010 0.144343 21
0 0.595578 0.198537 0.022948 0.090870 22
1 0.394141 0.300755 0.025604 0.093231 23
1 0.110794 0.371389 0.030182 0.098889 24
6 0.781987 0.145551 0.015953 0.075398 25
6 0.299427 0.500009 0.538229 0.996278 26
