3 0.109003 0.311338 0.218005 0.226380
4 0.672109 0.158704 0.013885 0.083278
2 0.437539 0.553565 0.012526 0.021759 0
0 0.826250 0.612866 0.105885 0.330361 1
0 0.775271 0.418616 0.031115 0.134880 2
0 0.409984 0.381880 0.028094 0.123481 3
6 0.680193 0.217273 0.028385 0.085806 4
0 0.661112 0.475694 0.410484 0.316574 5
0 0.677273 0.431255 0.030245 0.051713 6
0 0.911219 0.422023 0.035333 0.117546 7
0 0.701833 0.462620 0.029990 0.134444 8
0 0.772161 0.345093 0.027396 0.097426 9
0 0.605471 0.632051 0.238484 0.364509 10
0 0.952510 0.342361 0.032062 0.116204 11
0 0.936674 0.566843 0.041536 0.152259 12
0 0.950245 0.299528 0.023740 0.100130 13
0 0.726062 0.424907 0.045479 0.118704 14
0 0.626958 0.352593 0.038167 0.113704 15
6 0.973318 0.437310 0.032781 0.124269 16
0 0.408797 0.501519 0.045927 0.142889 17
0 0.460370 0.430435 0.051448 0.126907 19
0 0.314740 0.525880 0.198437 0.948241 20
0 0.622737 0.387750 0.031818 0.131352 21
0 0.897393 0.356102 0.047193 0.126130 22
1 0.198060 0.375278 0.038672 0.112593 23
1 0.412917 0.285690 0.033958 0.116028 24
6 0.380000 0.179653 0.018615 0.087602 25
6 0.299427 0.500009 0.538229 0.996278 26
0 0.201451 0.345236 0.031505 0.043824 27
0 0.843865 0.366727 0.042938 0.113676 28
