3 0.918167 0.352278 0.163667 0.211037
5 0.574974 0.473579 0.017354 0.031102
4 0.403724 0.202458 0.014635 0.085583
2 0.722172 0.273569 0.012656 0.022509 0
0 0.307375 0.414495 0.031073 0.098046 1
0 0.108432 0.409866 0.031260 0.126528 2
0 0.186122 0.427657 0.037286 0.118593 3
6 0.182141 0.203231 0.026177 0.077204 4
0 0.076258 0.453042 0.039880 0.106343 5
0 0.080839 0.570352 0.045458 0.164500 6
0 0.209078 0.504389 0.034031 0.112593 7
0 0.463154 0.423685 0.027391 0.081741 8
0 0.268891 0.603176 0.035760 0.121537 9
0 0.383935 0.226977 0.023141 0.080806 10
0 0.328018 0.391509 0.041911 0.116926 11
0 0.281815 0.264236 0.037641 0.099676 12
0 0.037961 0.396690 0.028495 0.128472 13
0 0.396333 0.333199 0.050354 0.112231 14
0 0.174495 0.403222 0.049823 0.122759 15
6 0.012917 0.316338 0.023438 0.111769 16
0 0.624622 0.361278 0.031745 0.107630 17
0 0.663599 0.472093 0.040115 0.138778 18
0 0.578227 0.347444 0.041464 0.121407 19
0 0.375698 0.241755 0.024000 0.095398 20
0 0.698599 0.452278 0.039677 0.132852 21
0 0.649927 0.337898 0.038104 0.114556 22
1 0.843818 0.376500 0.043844 0.109111 23
