3 0.384732 0.727426 0.439818 0.326870
7 0.376792 0.152343 0.519333 0.124704
2 0.455742 0.491458 0.013089 0.021917 0
0 0.870628 0.572329 0.057911 0.132750 1
0 0.623872 0.551532 0.059755 0.150083 2
0 0.346417 0.571662 0.061229 0.155750 3
6 0.749419 0.247699 0.023214 0.069324 4
0 0.854253 0.389931 0.030682 0.127972 5
0 0.835198 0.507481 0.041229 0.143556 6
0 0.528193 0.496361 0.062052 0.125426 7
0 0.876711 0.463903 0.031578 0.140157 8
0 0.806648 0.460139 0.040870 0.133241 9
0 0.224258 0.586051 0.053047 0.145861 10
0 0.829099 0.307750 0.039719 0.113574 11
0 0.221740 0.518644 0.042042 0.117898 12
0 0.711167 0.560745 0.048083 0.161657 13
0 0.419266 0.412736 0.038031 0.120269 14
0 0.614862 0.428213 0.041422 0.128019 15
6 0.746289 0.285931 0.031349 0.108398 16
0 0.111867 0.160069 0.031370 0.109306 17
0 0.096669 0.136394 0.027599 0.108694 19
0 0.314740 0.525880 0.198437 0.948241 20
0 0.504018 0.443028 0.058214 0.128204 21
0 0.849753 0.131000 0.023099 0.101889 22
1 0.262341 0.345301 0.028245 0.089472 23
1 0.439555 0.673870 0.056932 0.148926 24
6 0.728914 0.220139 0.015964 0.081889 25
6 0.299427 0.500009 0.538229 0.996278 26
0 0.335229 0.104606 0.023708 0.097269 27
