7 0.948750 0.596819 0.102500 0.154213
2 0.593333 0.281944 0.008583 0.016204 0
0 0.584344 0.250468 0.034469 0.083361 1
0 0.291956 0.238102 0.024536 0.103593 2
0 0.317292 0.248523 0.026542 0.102769 3
6 0.331771 0.225046 0.027531 0.087704 4
0 0.305469 0.344370 0.028542 0.104778 5
0 0.256833 0.766162 0.045469 0.181102 6
0 0.513411 0.295815 0.033094 0.123185 7
0 0.598406 0.265713 0.033813 0.077963 8
0 0.665633 0.392630 0.035755 0.126352 9
0 0.952693 0.268306 0.023208 0.096667 10
0 0.966182 0.369972 0.037104 0.125444 11
0 0.850904 0.270870 0.024995 0.102944 12
0 0.038966 0.396690 0.028495 0.128472 13
