4 0.067414 0.311319 0.010276 0.102194
3 0.739669 0.484495 0.277057 0.263417
2 0.626266 0.541051 0.011948 0.020083 0
0 0.712865 0.805296 0.136010 0.256907 1
0 0.515091 0.517903 0.034161 0.189602 2
0 0.168375 0.633194 0.043104 0.166204 3
6 0.604953 0.440713 0.040656 0.154056 4
0 0.221573 0.145958 0.048198 0.196009 5
0 0.066232 0.595889 0.041589 0.169389 6
0 0.015651 0.595000 0.031302 0.153148 7
0 0.875768 0.204991 0.043391 0.175722 8
0 0.420161 0.513935 0.063427 0.126204 9
0 0.166508 0.477954 0.043859 0.135759 10
0 0.103370 0.658995 0.034740 0.120639 11
0 0.380188 0.684255 0.109896 0.190565 12
0 0.264776 0.131329 0.048281 0.201083 13
0 0.059753 0.595282 0.039766 0.152954 14
0 0.296690 0.508546 0.036932 0.128278 15
6 0.158549 0.429560 0.033047 0.123935 16
0 0.392036 0.489986 0.040010 0.143176 17
0 0.246904 0.453505 0.022109 0.142065 19
0 0.214622 0.530120 0.043359 0.144019 20
0 0.274073 0.730528 0.041542 0.182278 21
0 0.425026 0.632139 0.034219 0.164241 22
1 0.580745 0.511981 0.049302 0.104741 23
1 0.379818 0.385759 0.051167 0.191296 24
6 0.777685 0.135069 0.015661 0.072824 25
6 0.262815 0.648495 0.369589 0.700546 26
