7 0.740318 0.489296 0.519365 0.195259
2 0.387258 0.486847 0.011641 0.021324 0
0 0.154828 0.385282 0.038073 0.100657 1
0 0.094529 0.418611 0.055422 0.115185 2
0 0.228846 0.388315 0.037203 0.113741 3
6 0.335786 0.198449 0.022594 0.071250 4
0 0.411753 0.448745 0.052932 0.102139 5
0 0.112263 0.593634 0.039641 0.133472 6
0 0.449951 0.405981 0.044891 0.102667 7
0 0.159174 0.478745 0.041755 0.101769 8
0 0.444812 0.456954 0.034958 0.099611 9
0 0.269422 0.291625 0.031156 0.089898 10
0 0.962115 0.510935 0.040500 0.124722 11
0 0.438685 0.317222 0.032943 0.098167 12
0 0.081922 0.468199 0.045469 0.116565 13
0 0.720331 0.419449 0.035203 0.116528 14
0 0.958792 0.417421 0.039708 0.110713 15
6 0.429266 0.535889 0.036469 0.129889 16
0 0.584669 0.319463 0.039391 0.101778 17
0 0.781802 0.306023 0.022646 0.097028 19
0 0.494177 0.217176 0.031573 0.080519 20
0 0.453937 0.766838 0.065667 0.170028 21
0 0.709273 0.318491 0.033516 0.116185 22
1 0.812604 0.557875 0.025750 0.117454 23
1 0.251344 0.489278 0.097521 0.144944 24
