3 0.838984 0.879111 0.322031 0.241778
4 0.212344 0.011319 0.007906 0.022639
7 0.815380 0.289579 0.369240 0.140120
3 0.922432 0.017810 0.155135 0.029972
2 0.439289 0.514421 0.012828 0.021120 0
0 0.352206 0.524213 0.048922 0.123796 1
0 0.621716 0.467273 0.027714 0.134343 2
0 0.650885 0.445708 0.033750 0.142657 3
6 0.854927 0.181366 0.031542 0.079546 4
0 0.447482 0.462088 0.032120 0.107676 5
0 0.490471 0.471699 0.049005 0.139843 6
0 0.817794 0.453981 0.034828 0.143889 7
0 0.228729 0.487162 0.044625 0.128954 8
0 0.485628 0.449815 0.055724 0.122407 9
0 0.009661 0.479917 0.019323 0.137944 10
0 0.754945 0.433102 0.029766 0.116796 11
0 0.538133 0.229190 0.032911 0.099639 12
0 0.588161 0.466977 0.034552 0.127343 13
0 0.565500 0.329394 0.028313 0.117639 14
0 0.640461 0.330069 0.030922 0.117083 15
6 0.792323 0.328083 0.037042 0.131167 16
0 0.094021 0.336894 0.025813 0.129731 17
0 0.712904 0.220653 0.023984 0.115176 19
0 0.113060 0.295380 0.028464 0.109981 20
0 0.425083 0.535565 0.045146 0.147630 21
0 0.888427 0.198588 0.030865 0.101583 22
1 0.910826 0.069514 0.029286 0.089120 23
1 0.840667 0.816431 0.048146 0.196028 24
6 0.464044 0.160417 0.016161 0.095185 25
